GamePk,PitcherId,BatterId,PitchType,PitchCall,is_swing,is_whiff,is_bip,is_hit,ReleaseSpeed,ReleaseExtension
2,1,15,FF,foul,1,0,0,0,97.69268243,6.121428013
2,1,15,FF,field_out,1,0,1,0,96.01838413,6.239919186
2,1,6,FF,field_out,1,0,1,0,95.20304799,6.03821373
2,1,5,FF,ball,0,0,0,0,95.54739732,5.916447163
2,1,8,FF,called_strike,0,0,0,0,96.57685244,6.121526718
2,1,12,FF,ball,0,0,0,0,94.29744451,6.202820778
2,1,12,FF,foul,1,0,0,0,94.12879076,6.180571556
2,1,25,FC,field_out,1,0,1,0,90.98249249,5.950638771
2,1,5,FC,ball,0,0,0,0,91.25231137,6.047593594
2,1,25,FC,foul,1,0,0,0,93.41675805,6.052866936
2,1,25,FC,foul,1,0,0,0,91.85081177,6.103640079
2,1,11,FC,strikeout,0,0,0,0,91.60306009,6.194647789
2,1,6,FC,blocked_ball,0,0,0,0,90.64014891,6.190832138
2,7,19,FC,called_strike,0,0,0,0,83.36491531,6.249382019
2,7,19,SL,swinging_strike,1,1,0,0,83.7751267,6.280376911
2,7,19,SL,ball,0,0,0,0,84.60068588,6.415369511
2,7,19,SL,strikeout,0,0,0,0,84.2381576,6.255403519
2,7,24,CU,ball,0,0,0,0,81.359081,6.221360207
2,7,24,CU,field_out,1,0,1,0,80.62447945,6.317219257
2,7,21,CU,single,1,0,1,1,81.18714691,6.376358032
2,7,13,FF,called_strike,0,0,0,0,94.5915788,6.498820782
2,7,13,SI,stolen_base_2b,0,0,0,0,93.78690395,6.526325226
2,7,13,CU,swinging_strike,1,1,0,0,81.48205412,6.304262161
2,7,13,CU,blocked_ball,0,0,0,0,80.79177855,6.60108614
2,7,13,SI,foul,1,0,0,0,95.7440322,6.560730934
2,7,13,SI,ball,0,0,0,0,93.84144404,6.49895525
2,7,13,FF,strikeout,0,0,0,0,94.5368043,6.502316952
2,1,11,FC,foul,1,0,0,0,92.62651158,6.091534615
2,1,15,SL,ball,0,0,0,0,88.05692954,6.199324608
2,1,11,FC,swinging_strike,1,1,0,0,93.59500492,6.106824398
2,1,5,CH,walk,0,0,0,0,87.11660358,6.262508392
2,1,12,SL,swinging_strike,1,1,0,0,86.25931028,5.98212862
2,1,5,FC,ball,0,0,0,0,91.3599797,6.027222633
2,1,12,SL,ball,0,0,0,0,87.77600249,5.930319786
2,1,6,FC,foul,1,0,0,0,93.44562348,5.965970039
2,1,12,SL,blocked_ball,0,0,0,0,85.96595402,6.192499638
2,1,8,SL,foul,1,0,0,0,86.81635501,6.007320881
2,1,12,SL,single,1,0,1,1,87.84586437,6.164134026
2,1,8,SL,swinging_strike,1,1,0,0,87.05282799,6.164011955
2,1,15,SL,ball,0,0,0,0,88.09793729,6.150091171
2,1,5,CH,field_out,1,0,1,0,88.78734972,6.384370804
2,1,31,SL,called_strike,0,0,0,0,86.5928691,6.033507347
2,1,15,SL,swinging_strike,1,1,0,0,88.04074471,6.130659103
2,1,16,SL,field_out,1,0,1,0,85.26685218,5.9665308
2,7,4,FC,called_strike,0,0,0,0,87.53670415,6.489320278
2,7,4,SL,double,1,0,1,1,83.36102834,6.400681973
2,7,26,SL,field_error,0,0,0,0,84.59308982,6.450763226
2,7,34,SL,triple,1,0,1,1,81.93750134,6.43348217
2,7,18,SL,foul,1,0,0,0,81.26782353,6.444152355
2,7,18,SI,ball,0,0,0,0,93.898234,6.611606598
2,7,18,SI,foul,1,0,0,0,92.91154592,6.449530125
2,7,18,CU,field_out,1,0,1,0,84.0710982,6.530747414
2,7,2,FF,ball,0,0,0,0,93.77812788,6.497168064
2,7,2,FF,ball,0,0,0,0,93.62333446,6.550046921
2,7,2,FF,foul,1,0,0,0,94.56470345,6.585470676
2,7,2,SI,swinging_strike,1,1,0,0,94.47842214,6.474669933
2,7,2,SI,strikeout,0,0,0,0,95.80844573,6.589031696
2,7,19,SI,called_strike,0,0,0,0,96.39681804,6.613652706
2,7,19,SI,foul,1,0,0,0,94.98812564,6.705752373
